,Tokenize,Detokenize
2025-07-27,0,0
2025-07-28,456,0
2025-07-29,54,0
2025-07-30,0,0
2025-07-31,0,0
2025-08-01,0,0
2025-08-02,0,0
2025-08-03,0,0
