,Tokenize,Detokenize
2025-06-26,0,0
2025-06-27,0,0
2025-06-28,0,0
2025-06-29,0,0
2025-06-30,2,0
2025-07-01,0,0
2025-07-02,1,0
2025-07-03,60,0
2025-07-04,1,0
2025-07-05,0,0
2025-07-06,0,0
2025-07-07,0,0
2025-07-08,0,0
2025-07-09,68653,0
2025-07-10,0,0
2025-07-11,0,0
2025-07-12,0,0
2025-07-13,0,0
2025-07-14,0,0
2025-07-15,0,0
2025-07-16,0,0
2025-07-17,0,0
2025-07-18,98,0
2025-07-19,0,0
2025-07-20,0,0
2025-07-21,0,0
2025-07-22,0,0
2025-07-23,0,0
2025-07-24,0,0
2025-07-25,0,0
